suite,seed,method,alias_strength,train_alias_strength,test_alias_strength,alias_energy,success,effect_rmse,action_rmse,mean_chart_effect_radius,charts,charts_requested,token_bins,token_mode,context_condition,context_flip_rate,train_rows,test_rows,threshold,effect_metric,control,evaluated_predictions
negative_controls,0,coarse_token,0.0,0.0,0.0,0.3012167558682581,0.7242857142857143,0.31363500453920884,0.6132996829276065,,,,8.0,cardinal,,,1600.0,700.0,0.36,,no_alias,700.0
negative_controls,0,esac_full_context,0.0,0.0,0.0,0.3012167558682581,0.9828571428571429,0.18490229523213167,0.5487115722613114,0.1446274746067172,24.0,3.0,8.0,cardinal,,,1600.0,700.0,0.36,,no_alias,700.0
negative_controls,0,esac_hidden_context,0.0,0.0,0.0,0.3012167558682581,0.69,0.32299402472493977,0.6328508880659359,0.14456125087587077,24.0,3.0,8.0,cardinal,,,1600.0,700.0,0.36,,no_alias,700.0
negative_controls,0,coarse_token,1.25,1.25,1.25,0.42071389257546066,0.63,0.3633812993876794,0.85515534592846,,,,8.0,oracle_mode,,,1600.0,700.0,0.36,,oracle_mode_token,700.0
negative_controls,0,esac_full_context,1.25,1.25,1.25,0.42071389257546066,0.84,0.26613052007359755,0.8408643091148557,0.2222961569320947,48.0,3.0,8.0,oracle_mode,,,1600.0,700.0,0.36,,oracle_mode_token,700.0
negative_controls,0,esac_hidden_context,1.25,1.25,1.25,0.42071389257546066,0.7357142857142858,0.3177282681758988,0.8536667201861874,0.22214803009412698,48.0,3.0,8.0,oracle_mode,,,1600.0,700.0,0.36,,oracle_mode_token,700.0
negative_controls,0,coarse_token,1.25,1.25,1.25,0.3825295395082597,0.7757142857142857,0.2887334999799874,0.8371477938248132,,,,8.0,oracle_mode_contact,,,1600.0,700.0,0.36,,oracle_mode_contact_token,700.0
negative_controls,0,esac_full_context,1.25,1.25,1.25,0.3825295395082597,0.8814285714285715,0.22927377590839462,0.8306898387911333,0.2658753316055468,50.0,3.0,8.0,oracle_mode_contact,,,1600.0,700.0,0.36,,oracle_mode_contact_token,700.0
negative_controls,0,esac_hidden_context,1.25,1.25,1.25,0.3825295395082597,0.8814285714285715,0.22927377590839462,0.8306898387911333,0.2658753316055468,50.0,3.0,8.0,oracle_mode_contact,,,1600.0,700.0,0.36,,oracle_mode_contact_token,700.0
negative_controls,0,coarse_token,1.25,1.25,1.25,1.5310224379228614,0.0,1.1692518463347947,1.2267313610126982,,,,1.0,single_token,,,1600.0,700.0,0.36,,single_token_alias,700.0
