suite,seed,method,alias_strength,train_alias_strength,test_alias_strength,alias_energy,success,effect_rmse,action_rmse,mean_chart_effect_radius,charts,charts_requested,token_bins,token_mode,context_condition,context_flip_rate,train_rows,test_rows,threshold,effect_metric,control,evaluated_predictions
chart_ablation,0,coarse_token,1.25,1.25,1.25,1.1660277183488317,0.14857142857142858,0.6518312191681862,1.0098715070978697,,,1.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,random_charts,1.25,1.25,1.25,1.1660277183488317,0.14857142857142858,0.6518312191681862,1.0098715070978697,1.1668107327147679,8.0,1.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,raw_action_charts,1.25,1.25,1.25,1.1660277183488317,0.14857142857142858,0.6518312191681862,1.0098715070978697,1.1668107327147679,8.0,1.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,esac_full_context,1.25,1.25,1.25,1.1660277183488317,0.14857142857142858,0.6518312191681862,1.0098715070978697,1.1668107327147679,8.0,1.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,coarse_token,1.25,1.25,1.25,1.1660277183488317,0.14857142857142858,0.6518312191681862,1.0098715070978697,,,2.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,random_charts,1.25,1.25,1.25,1.1660277183488317,0.15857142857142856,0.6552678990579897,1.013834367114796,1.1624833459104607,16.0,2.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,raw_action_charts,1.25,1.25,1.25,1.1660277183488317,0.5928571428571429,0.4084471243857037,0.9022396784984192,0.8025494973030749,16.0,2.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,esac_full_context,1.25,1.25,1.25,1.1660277183488317,0.63,0.3633812993876794,0.85515534592846,0.420470354708508,16.0,2.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,coarse_token,1.25,1.25,1.25,1.1660277183488317,0.14857142857142858,0.6518312191681862,1.0098715070978697,,,3.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,random_charts,1.25,1.25,1.25,1.1660277183488317,0.16,0.6565104050105047,1.0111727008253806,1.1629468769823421,24.0,3.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,raw_action_charts,1.25,1.25,1.25,1.1660277183488317,0.5928571428571429,0.4211665845511263,0.962205816658126,0.783428461255444,24.0,3.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,esac_full_context,1.25,1.25,1.25,1.1660277183488317,0.7242857142857143,0.3168411917013833,0.8483760059093063,0.3197206948108342,24.0,3.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,coarse_token,1.25,1.25,1.25,1.1660277183488317,0.14857142857142858,0.6518312191681862,1.0098715070978697,,,4.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,random_charts,1.25,1.25,1.25,1.1660277183488317,0.18428571428571427,0.6650191551668161,1.019240025737378,1.1579569384693573,32.0,4.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,raw_action_charts,1.25,1.25,1.25,1.1660277183488317,0.65,0.38082517685830763,0.9920012834121615,0.7164814211059429,32.0,4.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,esac_full_context,1.25,1.25,1.25,1.1660277183488317,0.7728571428571429,0.295017548153239,0.8457291067648711,0.273967781299467,32.0,4.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,coarse_token,1.25,1.25,1.25,1.1660277183488317,0.14857142857142858,0.6518312191681862,1.0098715070978697,,,6.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,random_charts,1.25,1.25,1.25,1.1660277183488317,0.16857142857142857,0.6650417822629704,1.0224841817081318,1.155309402463946,47.0,6.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,raw_action_charts,1.25,1.25,1.25,1.1660277183488317,0.7028571428571428,0.3583050696473664,1.0354483801733656,0.6380935968554161,48.0,6.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,esac_full_context,1.25,1.25,1.25,1.1660277183488317,0.8357142857142857,0.2706043726530773,0.8438854900502014,0.22228286042622583,48.0,6.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,coarse_token,1.25,1.25,1.25,1.1660277183488317,0.14857142857142858,0.6518312191681862,1.0098715070978697,,,8.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,random_charts,1.25,1.25,1.25,1.1660277183488317,0.15285714285714286,0.6550252044907334,1.0154019448349525,1.1504532431854206,49.0,8.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,raw_action_charts,1.25,1.25,1.25,1.1660277183488317,0.6942857142857143,0.3488407069465672,1.0202272108971773,0.6069991915054188,60.0,8.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,0,esac_full_context,1.25,1.25,1.25,1.1660277183488317,0.89,0.23424867526471513,0.8436327768641205,0.19726202492363126,60.0,8.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,coarse_token,1.25,1.25,1.25,1.1664375189437615,0.14714285714285713,0.6452708123507968,1.0205708912498164,,,1.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,random_charts,1.25,1.25,1.25,1.1664375189437615,0.14714285714285713,0.6452708123507968,1.0205708912498164,1.1663513395235705,8.0,1.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,raw_action_charts,1.25,1.25,1.25,1.1664375189437615,0.14714285714285713,0.6452708123507968,1.0205708912498164,1.1663513395235705,8.0,1.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,esac_full_context,1.25,1.25,1.25,1.1664375189437615,0.14714285714285713,0.6452708123507968,1.0205708912498164,1.1663513395235705,8.0,1.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,coarse_token,1.25,1.25,1.25,1.1664375189437615,0.14714285714285713,0.6452708123507968,1.0205708912498164,,,2.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,random_charts,1.25,1.25,1.25,1.1664375189437615,0.14,0.6530840572125387,1.023269919983509,1.1636633092047906,16.0,2.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,raw_action_charts,1.25,1.25,1.25,1.1664375189437615,0.5985714285714285,0.41422834763934624,0.9009751572796136,0.7962590856217753,16.0,2.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,esac_full_context,1.25,1.25,1.25,1.1664375189437615,0.6428571428571429,0.36115122020022505,0.8747637983626783,0.4253224583871319,16.0,2.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,coarse_token,1.25,1.25,1.25,1.1664375189437615,0.14714285714285713,0.6452708123507968,1.0205708912498164,,,3.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,random_charts,1.25,1.25,1.25,1.1664375189437615,0.17857142857142858,0.6443007922626484,1.0236769132074204,1.1608201731935766,24.0,3.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,raw_action_charts,1.25,1.25,1.25,1.1664375189437615,0.5942857142857143,0.40229181844748907,0.9718613832221279,0.7784862999604999,24.0,3.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,esac_full_context,1.25,1.25,1.25,1.1664375189437615,0.7085714285714285,0.33075922956498316,0.8637770917682208,0.3225667449885193,24.0,3.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,coarse_token,1.25,1.25,1.25,1.1664375189437615,0.14714285714285713,0.6452708123507968,1.0205708912498164,,,4.0,,,,,1600.0,700.0,0.36,,,700.0
chart_ablation,1,random_charts,1.25,1.25,1.25,1.1664375189437615,0.15571428571428572,0.6581308419106068,1.0297264640957433,1.1542737580903388,32.0,4.0,,,,,1600.0,700.0,0.36,,,700.0
