suite,seed,method,alias_strength,train_alias_strength,test_alias_strength,alias_energy,success,effect_rmse,action_rmse,mean_chart_effect_radius,charts,charts_requested,token_bins,token_mode,context_condition,context_flip_rate,train_rows,test_rows,threshold,effect_metric,control,evaluated_predictions
main_sweep,0,coarse_token,0.0,0.0,0.0,0.29873017453461376,0.708,0.3166819493250198,0.6169615407680656,,,,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,raw_action_charts,0.0,0.0,0.0,0.29873017453461376,0.863,0.2596122277507307,0.6321114908939846,0.2649882979927118,24.0,3.0,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,esac_full_context,0.0,0.0,0.0,0.29873017453461376,0.98,0.18318886570067386,0.5474046752014496,0.145638272835589,24.0,3.0,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,esac_hidden_context,0.0,0.0,0.0,0.29873017453461376,0.719,0.32670902752969566,0.6366452748149689,0.14563827283558903,24.0,3.0,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,continuous_regression_upper,0.0,0.0,0.0,0.29873017453461376,1.0,0.08326221793026559,0.519597742084974,,,,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,oracle_expert,0.0,0.0,0.0,0.29873017453461376,1.0,0.053333495480611545,0.0,,,,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,coarse_token,0.25,0.25,0.25,0.37330873671015413,0.574,0.3767523441230946,0.7115349657168798,,,,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,raw_action_charts,0.25,0.25,0.25,0.37330873671015413,0.734,0.30651111253694086,0.6964559609604938,0.3203994020000044,24.0,3.0,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,esac_full_context,0.25,0.25,0.25,0.37330873671015413,0.897,0.24804391788182562,0.6504792909043691,0.19652917821308225,24.0,3.0,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,esac_hidden_context,0.25,0.25,0.25,0.37330873671015413,0.631,0.3825051119550898,0.7260845463363752,0.19647332831654493,24.0,3.0,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,continuous_regression_upper,0.25,0.25,0.25,0.37330873671015413,1.0,0.08652409272409266,0.586613777171537,,,,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
main_sweep,0,oracle_expert,0.25,0.25,0.25,0.37330873671015413,1.0,0.06203781683925053,0.0,,,,8.0,cardinal,,,2600.0,1000.0,0.36,,,1000.0
