suite,seed,method,alias_strength,train_alias_strength,test_alias_strength,alias_energy,success,effect_rmse,action_rmse,mean_chart_effect_radius,charts,charts_requested,token_bins,token_mode,context_condition,context_flip_rate,train_rows,test_rows,threshold,effect_metric,control,evaluated_predictions
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.726,0.32362622839632377,0.869964872218995,0.3236723169622307,24.0,3.0,,,clean,0.0,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.687,0.42783633066011895,0.9149379093597592,0.3236723169622307,24.0,3.0,,,flip_both,0.05,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.655,0.49712198901605764,0.9506044430755265,0.3236723169622307,24.0,3.0,,,flip_both,0.1,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.57,0.6196134858660007,1.0073511803509885,0.3236723169622307,24.0,3.0,,,flip_both,0.2,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.419,0.8022347705685158,1.1274606856024199,0.3236723169622307,24.0,3.0,,,flip_both,0.4,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.271,0.9614816364590536,1.23776145243863,0.3236723169622307,24.0,3.0,,,flip_both,0.6,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.726,0.32362622839632377,0.869964872218995,0.3236723169622307,24.0,3.0,,,clean,0.0,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.687,0.4291376928172515,0.9155685772028744,0.3236723169622307,24.0,3.0,,,flip_mode,0.05,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.655,0.4973341377369469,0.9523691868207552,0.3236723169622307,24.0,3.0,,,flip_mode,0.1,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.569,0.6184205754309406,1.0092709581830688,0.3236723169622307,24.0,3.0,,,flip_mode,0.2,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.418,0.8007846485322654,1.1292678452813874,0.3236723169622307,24.0,3.0,,,flip_mode,0.4,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.269,0.9590532773152418,1.2381558507977295,0.3236723169622307,24.0,3.0,,,flip_mode,0.6,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.726,0.32362622839632377,0.869964872218995,0.3236723169622307,24.0,3.0,,,clean,0.0,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.725,0.324088087112772,0.8699173055503693,0.3236723169622307,24.0,3.0,,,flip_contact,0.05,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.723,0.32597596785000926,0.8703259710318785,0.3236723169622307,24.0,3.0,,,flip_contact,0.1,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.712,0.3333598853073289,0.8718982488412226,0.3236723169622307,24.0,3.0,,,flip_contact,0.2,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.695,0.3417764102817457,0.8751094604847205,0.3236723169622307,24.0,3.0,,,flip_contact,0.4,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.68,0.352677124278237,0.879535709755898,0.3236723169622307,24.0,3.0,,,flip_contact,0.6,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.726,0.32362622839632377,0.869964872218995,0.3236723169622307,24.0,3.0,,,clean,0.0,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.726,0.32362622839632377,0.869964872218995,0.3236723169622307,24.0,3.0,,,gaussian_alias_features,0.05,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.726,0.32362622839632377,0.869964872218995,0.3236723169622307,24.0,3.0,,,gaussian_alias_features,0.1,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.726,0.32362622839632377,0.869964872218995,0.3236723169622307,24.0,3.0,,,gaussian_alias_features,0.2,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.72,0.3372225179488915,0.8773527224750456,0.3236723169622307,24.0,3.0,,,gaussian_alias_features,0.4,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_full_context,1.25,1.25,1.25,1.1713920056548244,0.683,0.4182235458524101,0.9144329440933697,0.3236723169622307,24.0,3.0,,,gaussian_alias_features,0.6,2600.0,1000.0,0.36,,,1000.0
context_reliability,0,esac_hidden_context,1.25,1.25,1.25,1.1713920056548244,0.368,0.8495338246214302,1.149729053103064,0.3236723169622307,24.0,3.0,,,hidden_alias_context,-1.0,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.717,0.3264262735378132,0.8725753589730778,0.3146881286896516,24.0,3.0,,,clean,0.0,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.684,0.408278251869887,0.9086210729610888,0.3146881286896516,24.0,3.0,,,flip_both,0.05,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.637,0.48650853508822556,0.947930248402381,0.3146881286896516,24.0,3.0,,,flip_both,0.1,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.554,0.6041917804715946,1.016494353610549,0.3146881286896516,24.0,3.0,,,flip_both,0.2,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.416,0.7895967527662369,1.136183472005552,0.3146881286896516,24.0,3.0,,,flip_both,0.4,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.286,0.9227559968576401,1.224424686076419,0.3146881286896516,24.0,3.0,,,flip_both,0.6,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.717,0.3264262735378132,0.8725753589730778,0.3146881286896516,24.0,3.0,,,clean,0.0,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.684,0.4056916420618891,0.9089560601910096,0.3146881286896516,24.0,3.0,,,flip_mode,0.05,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.637,0.4852479436350255,0.947593573739806,0.3146881286896516,24.0,3.0,,,flip_mode,0.1,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.554,0.6039940839344656,1.0164568653125199,0.3146881286896516,24.0,3.0,,,flip_mode,0.2,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.416,0.7901172212302007,1.1345624763176112,0.3146881286896516,24.0,3.0,,,flip_mode,0.4,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.286,0.9217828160868621,1.222292617248291,0.3146881286896516,24.0,3.0,,,flip_mode,0.6,2600.0,1000.0,0.36,,,1000.0
context_reliability,1,esac_full_context,1.25,1.25,1.25,1.1765617716775545,0.717,0.3264262735378132,0.8725753589730778,0.3146881286896516,24.0,3.0,,,clean,0.0,2600.0,1000.0,0.36,,,1000.0
